,Model Name,Sample Size,Number Of Random Sample Test,Number Of Neighbors,Base Error Rate,Mean Error Rate On Random Samples,STD Of Error Rate On Random Samples,Max Error Rate On Random Samples,Min Error Rate On Random Samples,EUR Mean Error Rate On Random Samples,EUR STD Of Error Rate On Random Samples,EUR Max Error Rate On Random Samples,EUR Min Error Rate On Random Samples,EAS Mean Error Rate On Random Samples,EAS STD Of Error Rate On Random Samples,EAS Max Error Rate On Random Samples,EAS Min Error Rate On Random Samples,AMR Mean Error Rate On Random Samples,AMR STD Of Error Rate On Random Samples,AMR Max Error Rate On Random Samples,AMR Min Error Rate On Random Samples,SAS Mean Error Rate On Random Samples,SAS STD Of Error Rate On Random Samples,SAS Max Error Rate On Random Samples,SAS Min Error Rate On Random Samples,AFR Mean Error Rate On Random Samples,AFR STD Of Error Rate On Random Samples,AFR Max Error Rate On Random Samples,AFR Min Error Rate On Random Samples
46,KNeighborsClassifier,1000,1,6,0.176,0.231,,0.231,0.231,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.025380710659898477,,0.025380710659898477,0.025380710659898477,0.7734375,,0.7734375,0.7734375,0.5123152709359606,,0.5123152709359606,0.5123152709359606,0.03435114503816794,,0.03435114503816794,0.03435114503816794
47,KNeighborsClassifier,1000,1,6,0.176,0.224,,0.224,0.224,0.053763440860215055,,0.053763440860215055,0.053763440860215055,0.05116279069767442,,0.05116279069767442,0.05116279069767442,0.6824324324324325,,0.6824324324324325,0.6824324324324325,0.4321608040201005,,0.4321608040201005,0.4321608040201005,0.06349206349206349,,0.06349206349206349,0.06349206349206349
48,KNeighborsClassifier,1000,1,6,0.176,0.234,,0.234,0.234,0.06321839080459771,,0.06321839080459771,0.06321839080459771,0.06363636363636363,,0.06363636363636363,0.06363636363636363,0.6986301369863014,,0.6986301369863014,0.6986301369863014,0.5222222222222223,,0.5222222222222223,0.5222222222222223,0.04642857142857143,,0.04642857142857143,0.04642857142857143
49,KNeighborsClassifier,1000,1,6,0.176,0.235,,0.235,0.235,0.07329842931937172,,0.07329842931937172,0.07329842931937172,0.0410958904109589,,0.0410958904109589,0.0410958904109589,0.6538461538461539,,0.6538461538461539,0.6538461538461539,0.5560975609756098,,0.5560975609756098,0.5560975609756098,0.050980392156862744,,0.050980392156862744,0.050980392156862744
50,KNeighborsClassifier,1000,1,6,0.176,0.228,,0.228,0.228,0.05319148936170213,,0.05319148936170213,0.05319148936170213,0.032407407407407406,,0.032407407407407406,0.032407407407407406,0.6940298507462687,,0.6940298507462687,0.6940298507462687,0.5226130653266332,,0.5226130653266332,0.5226130653266332,0.053231939163498096,,0.053231939163498096,0.053231939163498096
51,KNeighborsClassifier,1000,1,6,0.176,0.205,,0.205,0.205,0.05970149253731343,,0.05970149253731343,0.05970149253731343,0.018518518518518517,,0.018518518518518517,0.018518518518518517,0.6423357664233577,,0.6423357664233577,0.6423357664233577,0.4648648648648649,,0.4648648648648649,0.4648648648648649,0.05384615384615385,,0.05384615384615385,0.05384615384615385
52,KNeighborsClassifier,1000,1,6,0.176,0.236,,0.236,0.236,0.05641025641025641,,0.05641025641025641,0.05641025641025641,0.046948356807511735,,0.046948356807511735,0.046948356807511735,0.7709923664122137,,0.7709923664122137,0.7709923664122137,0.5170731707317073,,0.5170731707317073,0.5170731707317073,0.03125,,0.03125,0.03125
53,KNeighborsClassifier,1000,1,6,0.176,0.257,,0.257,0.257,0.09714285714285714,,0.09714285714285714,0.09714285714285714,0.023255813953488372,,0.023255813953488372,0.023255813953488372,0.75,,0.75,0.75,0.5050505050505051,,0.5050505050505051,0.5050505050505051,0.09090909090909091,,0.09090909090909091,0.09090909090909091
54,KNeighborsClassifier,1000,1,6,0.176,0.206,,0.206,0.206,0.07,,0.07,0.07,0.03211009174311927,,0.03211009174311927,0.03211009174311927,0.6194029850746269,,0.6194029850746269,0.6194029850746269,0.450261780104712,,0.450261780104712,0.450261780104712,0.0622568093385214,,0.0622568093385214,0.0622568093385214
55,KNeighborsClassifier,1000,1,6,0.176,0.225,,0.225,0.225,0.03902439024390244,,0.03902439024390244,0.03902439024390244,0.06341463414634146,,0.06341463414634146,0.06341463414634146,0.6962962962962963,,0.6962962962962963,0.6962962962962963,0.518918918918919,,0.518918918918919,0.518918918918919,0.05185185185185185,,0.05185185185185185,0.05185185185185185
56,KNeighborsClassifier,1000,1,6,0.176,0.226,,0.226,0.226,0.05339805825242718,,0.05339805825242718,0.05339805825242718,0.04878048780487805,,0.04878048780487805,0.04878048780487805,0.7175572519083969,,0.7175572519083969,0.7175572519083969,0.475,,0.475,0.475,0.06201550387596899,,0.06201550387596899,0.06201550387596899
57,KNeighborsClassifier,1000,1,6,0.176,0.217,,0.217,0.217,0.03208556149732621,,0.03208556149732621,0.03208556149732621,0.041237113402061855,,0.041237113402061855,0.041237113402061855,0.6811594202898551,,0.6811594202898551,0.6811594202898551,0.467005076142132,,0.467005076142132,0.467005076142132,0.05985915492957746,,0.05985915492957746,0.05985915492957746
58,KNeighborsClassifier,1000,1,6,0.176,0.237,,0.237,0.237,0.05789473684210526,,0.05789473684210526,0.05789473684210526,0.0594059405940594,,0.0594059405940594,0.0594059405940594,0.6778523489932886,,0.6778523489932886,0.6778523489932886,0.4858490566037736,,0.4858490566037736,0.4858490566037736,0.036585365853658534,,0.036585365853658534,0.036585365853658534
59,KNeighborsClassifier,1000,1,6,0.176,0.206,,0.206,0.206,0.05472636815920398,,0.05472636815920398,0.05472636815920398,0.03524229074889868,,0.03524229074889868,0.03524229074889868,0.7099236641221374,,0.7099236641221374,0.7099236641221374,0.4632768361581921,,0.4632768361581921,0.4632768361581921,0.045454545454545456,,0.045454545454545456,0.045454545454545456
60,KNeighborsClassifier,1000,1,6,0.176,0.23,,0.23,0.23,0.04522613065326633,,0.04522613065326633,0.04522613065326633,0.025510204081632654,,0.025510204081632654,0.025510204081632654,0.7094594594594594,,0.7094594594594594,0.7094594594594594,0.4919786096256685,,0.4919786096256685,0.4919786096256685,0.06691449814126393,,0.06691449814126393,0.06691449814126393
61,KNeighborsClassifier,1000,1,6,0.176,0.232,,0.232,0.232,0.0825242718446602,,0.0825242718446602,0.0825242718446602,0.06030150753768844,,0.06030150753768844,0.06030150753768844,0.7096774193548387,,0.7096774193548387,0.7096774193548387,0.4824120603015075,,0.4824120603015075,0.4824120603015075,0.06642066420664207,,0.06642066420664207,0.06642066420664207
62,KNeighborsClassifier,1000,1,6,0.176,0.227,,0.227,0.227,0.046153846153846156,,0.046153846153846156,0.046153846153846156,0.03862660944206009,,0.03862660944206009,0.03862660944206009,0.7424242424242424,,0.7424242424242424,0.7424242424242424,0.5268817204301075,,0.5268817204301075,0.5268817204301075,0.051181102362204724,,0.051181102362204724,0.051181102362204724
63,KNeighborsClassifier,1000,1,6,0.176,0.225,,0.225,0.225,0.06696428571428571,,0.06696428571428571,0.06696428571428571,0.07389162561576355,,0.07389162561576355,0.07389162561576355,0.7109375,,0.7109375,0.7109375,0.4734042553191489,,0.4734042553191489,0.4734042553191489,0.058365758754863814,,0.058365758754863814,0.058365758754863814
64,KNeighborsClassifier,1000,1,6,0.176,0.235,,0.235,0.235,0.06796116504854369,,0.06796116504854369,0.06796116504854369,0.02617801047120419,,0.02617801047120419,0.02617801047120419,0.6808510638297872,,0.6808510638297872,0.6808510638297872,0.53125,,0.53125,0.53125,0.06666666666666667,,0.06666666666666667,0.06666666666666667
65,KNeighborsClassifier,1000,1,6,0.176,0.232,,0.232,0.232,0.07216494845360824,,0.07216494845360824,0.07216494845360824,0.041666666666666664,,0.041666666666666664,0.041666666666666664,0.697841726618705,,0.697841726618705,0.697841726618705,0.4896907216494845,,0.4896907216494845,0.4896907216494845,0.06405693950177936,,0.06405693950177936,0.06405693950177936
66,KNeighborsClassifier,1000,1,6,0.176,0.227,,0.227,0.227,0.035175879396984924,,0.035175879396984924,0.035175879396984924,0.04390243902439024,,0.04390243902439024,0.04390243902439024,0.6643835616438356,,0.6643835616438356,0.6643835616438356,0.5333333333333333,,0.5333333333333333,0.5333333333333333,0.0392156862745098,,0.0392156862745098,0.0392156862745098
67,KNeighborsClassifier,1000,1,6,0.176,0.212,,0.212,0.212,0.03015075376884422,,0.03015075376884422,0.03015075376884422,0.035897435897435895,,0.035897435897435895,0.035897435897435895,0.6370967741935484,,0.6370967741935484,0.6370967741935484,0.5247524752475248,,0.5247524752475248,0.5247524752475248,0.05,,0.05,0.05
